TEST#	TYPE	SIZE	CREATE	FIND-MIN	IN-ORDER
2	AVL	1230	217471	487	30231	70215
2	AVL	1240	221372	488	30231	68020
2	AVL	1250	241608	731	29987	71678
2	AVL	1260	225517	488	29988	69240
2	AVL	1270	223323	488	30476	69484
2	AVL	1280	227467	731	30719	69971
2	AVL	1290	232587	487	31450	71921
2	AVL	1300	233562	731	31694	71678
2	AVL	1310	234537	488	31938	71922
2	AVL	1320	231368	488	32181	72653
2	AVL	1330	236488	488	34619	73384
2	AVL	1340	240145	488	32913	75578
2	AVL	1350	239170	732	33157	74847
2	AVL	1360	237950	487	33157	77041
2	AVL	1370	241120	732	33157	77773
2	AVL	1380	249166	488	33645	75334
2	AVL	1390	245752	731	33401	76798
2	AVL	1400	271595	487	33644	76797
2	AVL	1410	251360	488	34133	77772
2	AVL	1420	248922	488	34376	77773
2	AVL	1430	248434	731	34864	78260
2	AVL	1440	252823	488	35596	84111
2	AVL	1450	252822	487	34620	81186
2	AVL	1460	254530	732	35351	83136
2	AVL	1470	260868	487	35351	83137
2	AVL	1480	265257	731	35351	83380
2	AVL	1490	264526	488	36327	81430
2	AVL	1500	262331	732	36327	81918
2	AVL	1510	270133	488	36327	82161
2	AVL	1520	344005	488	36571	84112
2	AVL	1530	266963	488	36814	85086
2	AVL	1540	269645	731	36570	89719
2	AVL	1550	287686	488	38034	88988
2	AVL	1560	291831	488	37302	88013
2	AVL	1570	277203	488	38277	86550
2	AVL	1580	295975	487	38277	86793
2	AVL	1590	318162	488	38764	87281
2	AVL	1600	281104	731	39496	87769
2	AVL	1610	295000	487	39252	90938
2	AVL	1620	299389	488	38765	88744
2	AVL	1630	282810	487	42422	88988
2	AVL	1640	291344	732	40472	92157
2	AVL	1650	296707	732	40471	91426
2	AVL	1660	312311	731	39984	98984
2	AVL	1670	314260	731	40715	95083
2	AVL	1680	333521	488	40715	95083
2	AVL	1690	298902	488	40715	102153
2	AVL	1700	298658	488	41934	97033
2	AVL	1710	324013	732	41934	104592
2	AVL	1720	303290	1462	44860	101910
2	AVL	1730	305484	488	41446	94595
